"","PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","title","famsize","famsmall","mother","single","famname","totsurvive","CabinNo"
"30",30,0,3,"male",20,0,0,7.8958,"S","Mr",1,1,0,1,"Todoroff216",0,"G"
"31",31,0,1,"male",40,0,0,27.7208,"C","Mr",1,1,0,1,"Uruchurtu601",0,"C"
"32",32,1,1,"female",33,1,0,146.5208,"C","Mrs",2,1,0,0,"Spencer569",1,"B"
"33",33,1,3,"female",1,0,0,7.75,"Q","Miss",1,1,0,1,"Glynn677",0,"G"
"34",34,0,2,"male",66,0,0,10.5,"S","Mr",1,1,0,1,"Wheadon579",0,"D"
"35",35,0,1,"male",28,1,0,82.1708,"C","Mr",2,1,0,0,"Meyer604",1,"D"
"36",36,0,1,"male",42,1,0,52,"S","Mr",2,1,0,0,"Holverson789",1,"C"
"37",37,1,3,"male",24,0,0,7.2292,"C","Mr",1,1,0,1,"Mamee677",0,"G"
"38",38,0,3,"male",21,0,0,8.05,"S","Mr",1,1,0,1,"Cann152",0,"G"
"39",39,0,3,"female",18,2,0,18,"S","Ms",3,1,0,0,"Vander Planke764",0,"F"
"40",40,1,3,"female",14,1,0,11.2417,"C","Miss",2,1,0,0,"Nicola-Yarred651",2,"G"
"41",41,0,3,"female",40,1,0,9.475,"S","Mrs",2,1,0,0,"Ahlin546",0,"F"
"42",42,0,2,"female",27,1,0,21,"S","Mrs",2,1,0,0,"Turpin668",0,"F"
"43",43,0,3,"male",24,0,0,7.8958,"C","Mr",1,1,0,1,"Kraeff253",0,"G"
"44",44,1,2,"female",3,1,2,41.5792,"C","Miss",4,0,0,0,"Laroche123",2,"F"
"45",45,1,3,"female",19,0,0,7.8792,"Q","Ms",1,1,0,1,"Devaney958",0,"F"
"46",46,0,3,"male",6,0,0,8.05,"S","Mr",1,1,0,1,"Rogers567",0,"G"
"47",47,0,3,"male",8,1,0,15.5,"Q","Mr",2,1,0,0,"Lennon371",0,"G"
"48",48,1,3,"female",9,0,0,7.75,"Q","Miss",1,1,0,1,"O'Driscoll311",0,"F"
"49",49,0,3,"male",3,2,0,21.6792,"C","Mr",3,1,0,0,"Samaan662",0,"F"
"50",50,0,3,"female",18,1,0,17.8,"S","Mrs",2,1,0,0,"Arnold-Franchi237",0,"G"
"51",51,0,3,"male",7,4,1,39.6875,"S","Master",6,0,0,0,"Panula295",0,"G"
"52",52,0,3,"male",21,0,0,7.8,"S","Mr",1,1,0,1,"Nosworthy886",0,"G"
"53",53,1,1,"female",49,1,0,76.7292,"C","Mrs",2,1,0,0,"Harper572",2,"D"
"54",54,1,2,"female",29,1,0,26,"S","Mrs",2,1,0,0,"Faunthorpe926",1,"F"
"55",55,0,1,"male",65,0,1,61.9792,"C","Mr",2,1,0,0,"Ostby509",0,"B"
"56",56,1,1,"male",29,0,0,35.5,"S","Mr",1,1,0,1,"Woolner947",0,"C"
"57",57,1,2,"female",21,0,0,10.5,"S","Ms",1,1,0,1,"Rugg026",0,"F"
"58",58,0,3,"male",28.5,0,0,7.2292,"C","Mr",1,1,0,1,"Novel697",0,"F"
"59",59,1,2,"female",5,1,2,27.75,"S","Miss",4,0,0,0,"West651",2,"F"
"60",60,0,3,"male",11,5,2,46.9,"S","Master",8,0,0,0,"Goodwin144",0,"G"
"61",61,0,3,"male",22,0,0,7.2292,"C","Mr",1,1,0,1,"Sirayanian669",0,"E"
"62",62,1,1,"female",38,0,0,80,"S","Ms",1,1,0,1,"Icard572",0,"B"
"63",63,0,1,"male",45,1,0,83.475,"S","Mr",2,1,0,0,"Harris973",1,"C"
"64",64,0,3,"male",4,3,2,27.9,"S","Master",6,0,0,0,"Skoog088",0,"F"
"65",65,0,1,"male",19,0,0,27.7208,"C","Mr",1,1,0,1,"Stewart605",0,"B"
"66",66,1,3,"male",9,1,1,15.2458,"C","Master",3,1,0,0,"Moubarek661",2,"F"
"67",67,1,2,"female",29,0,0,10.5,"S","Mrs",1,1,0,1,"Nye395",0,"F"
"68",68,0,3,"male",19,0,0,8.1583,"S","Mr",1,1,0,1,"Crease464",0,"G"
"69",69,1,3,"female",17,4,2,7.925,"S","Ms",7,0,0,0,"Andersson281",1,"F"
"70",70,0,3,"male",26,2,0,8.6625,"S","Mr",3,1,0,0,"Kink151",0,"G"
"71",71,0,2,"male",32,0,0,10.5,"S","Mr",1,1,0,1,"Jenkin111",0,"F"
"72",72,0,3,"female",16,5,2,46.9,"S","Ms",8,0,0,0,"Goodwin144",0,"G"
"73",73,0,2,"male",21,0,0,73.5,"S","Mr",1,1,0,1,"Hood879",0,"E"
"74",74,0,3,"male",26,1,0,14.4542,"C","Mr",2,1,0,0,"Chronopoulos680",0,"E"
"75",75,1,3,"male",32,0,0,56.4958,"S","Mr",1,1,0,1,"Bing601",0,"F"
"76",76,0,3,"male",25,0,0,7.65,"S","Mr",1,1,0,1,"Moen123",0,"F"
"77",77,0,3,"male",30,0,0,7.8958,"S","Mr",1,1,0,1,"Staneff208",0,"E"
"78",78,0,3,"male",20,0,0,8.05,"S","Mr",1,1,0,1,"Moutal746",0,"F"
"79",79,1,2,"male",0.83,0,2,29,"S","Master",3,1,0,0,"Caldwell738",2,"F"
"80",80,1,3,"female",30,0,0,12.475,"S","Ms",1,1,0,1,"Dowdell516",0,"G"
"81",81,0,3,"male",22,0,0,9,"S","Mr",1,1,0,1,"Waelens767",0,"F"
"82",82,1,3,"male",29,0,0,9.5,"S","Mr",1,1,0,1,"Sheerlinck779",0,"F"
"83",83,1,3,"female",4,0,0,7.7875,"Q","Miss",1,1,0,1,"McDermott932",0,"F"
"84",84,0,1,"male",28,0,0,47.1,"S","Mr",1,1,0,1,"Carrau059",0,"E"
"85",85,1,2,"female",17,0,0,10.5,"S","Ms",1,1,0,1,"Ilett885",0,"F"
"86",86,1,3,"female",33,3,0,15.85,"S","Mrs",4,0,0,0,"Backstrom278",1,"F"
"87",87,0,3,"male",16,1,3,34.375,"S","Mr",5,0,0,0,"Ford608",0,"F"
"88",88,0,3,"male",6,0,0,8.05,"S","Mr",1,1,0,1,"Slocovski086",0,"E"
"89",89,1,1,"female",23,3,2,263,"S","Ms",6,0,0,0,"Fortune950",2,"C"
"90",90,0,3,"male",24,0,0,8.05,"S","Mr",1,1,0,1,"Celotti275",0,"F"
"91",91,0,3,"male",29,0,0,8.05,"S","Mr",1,1,0,1,"Christmann276",0,"G"
"92",92,0,3,"male",20,0,0,7.8542,"S","Mr",1,1,0,1,"Andreasson466",0,"G"
"93",93,0,1,"male",46,1,0,61.175,"S","Mr",2,1,0,0,"Chaffee734",0,"E"
"94",94,0,3,"male",26,1,2,20.575,"S","Mr",4,0,0,0,"Dean315",1,"F"
"95",95,0,3,"male",59,0,0,7.25,"S","Mr",1,1,0,1,"Coxon500",0,"G"
"96",96,0,3,"male",30,0,0,8.05,"S","Mr",1,1,0,1,"Shorney910",0,"F"
"97",97,0,1,"male",71,0,0,34.6542,"C","Mr",1,1,0,1,"Goldschmidt754",0,"A"
"98",98,1,1,"male",23,0,1,63.3583,"C","Mr",2,1,0,0,"Greenfield759",1,"D"
"99",99,1,2,"female",34,0,1,23,"S","Mrs",2,1,1,0,"Doling919",2,"D"
"100",100,0,2,"male",34,1,0,26,"S","Mr",2,1,0,0,"Kantor367",1,"D"
"101",101,0,3,"female",28,0,0,7.8958,"S","Ms",1,1,0,1,"Petranec245",0,"F"
"102",102,0,3,"male",20,0,0,7.8958,"S","Mr",1,1,0,1,"Petroff215",0,"F"
"103",103,0,1,"male",21,0,1,77.2875,"S","Mr",2,1,0,0,"White281",0,"D"
"104",104,0,3,"male",33,0,0,8.6542,"S","Mr",1,1,0,1,"Johansson540",0,"F"
"105",105,0,3,"male",37,2,0,7.925,"S","Mr",3,1,0,0,"Gustafsson276",0,"F"
"106",106,0,3,"male",28,0,0,7.8958,"S","Mr",1,1,0,1,"Mionoff207",0,"E"
"107",107,1,3,"female",21,0,0,7.65,"S","Ms",1,1,0,1,"Salkjelsvik120",0,"G"
"108",108,1,3,"male",15,0,0,7.775,"S","Mr",1,1,0,1,"Moss991",0,"F"
"109",109,0,3,"male",38,0,0,7.8958,"S","Mr",1,1,0,1,"Rekic249",0,"F"
"110",110,1,3,"female",2,1,0,24.15,"Q","Miss",2,1,0,0,"Moran110",1,"F"
"111",111,0,1,"male",47,0,0,52,"S","Mr",1,1,0,1,"Porter465",0,"C"
"112",112,0,3,"female",14.5,1,0,14.4542,"C","Miss",2,1,0,0,"Zabour665",0,"F"
"113",113,0,3,"male",22,0,0,8.05,"S","Mr",1,1,0,1,"Barton669",0,"F"
"114",114,0,3,"female",20,1,0,9.825,"S","Ms",2,1,0,0,"Jussila136",0,"E"
"115",115,0,3,"female",17,0,0,14.4583,"C","Ms",1,1,0,1,"Attalah627",0,"F"
"116",116,0,3,"male",21,0,0,7.925,"S","Mr",1,1,0,1,"Pekoniemi294",0,"G"
"117",117,0,3,"male",70.5,0,0,7.75,"Q","Mr",1,1,0,1,"Connors369",0,"E"
"118",118,0,2,"male",29,1,0,21,"S","Mr",2,1,0,0,"Turpin668",0,"F"
"119",119,0,1,"male",24,0,1,247.5208,"C","Mr",2,1,0,0,"Baxter558",1,"B"
"120",120,0,3,"female",2,4,2,31.275,"S","Miss",7,0,0,0,"Andersson082",0,"G"
"121",121,0,2,"male",21,2,0,73.5,"S","Mr",3,1,0,0,"Hickman879",0,"F"
"122",122,0,3,"male",18,0,0,8.05,"S","Mr",1,1,0,1,"Moore510",0,"E"
"123",123,0,2,"male",32.5,1,0,30.0708,"C","Mr",2,1,0,0,"Nasser736",1,"F"
"124",124,1,2,"female",32.5,0,0,13,"S","Ms",1,1,0,1,"Webber267",0,"E"
"125",125,0,1,"male",54,0,1,77.2875,"S","Mr",2,1,0,0,"White281",0,"D"
"126",126,1,3,"male",12,1,0,11.2417,"C","Master",2,1,0,0,"Nicola-Yarred651",2,"G"
"127",127,0,3,"male",18,0,0,7.75,"Q","Mr",1,1,0,1,"McMahon372",0,"F"
"128",128,1,3,"male",24,0,0,7.1417,"S","Mr",1,1,0,1,"Madsen369",0,"G"
"129",129,1,3,"female",9,1,1,22.3583,"C","Miss",3,1,0,0,"Peter668",2,"F"
"130",130,0,3,"male",45,0,0,6.975,"S","Mr",1,1,0,1,"Ekstrom061",0,"G"
"131",131,0,3,"male",33,0,0,7.8958,"C","Mr",1,1,0,1,"Drazenoic241",0,"F"
"132",132,0,3,"male",20,0,0,7.05,"S","Mr",1,1,0,1,"Coelho307",0,"F"
"133",133,0,3,"female",47,1,0,14.5,"S","Mrs",2,1,0,0,"Robins337",0,"G"
"134",134,1,2,"female",29,1,0,26,"S","Mrs",2,1,0,0,"Weisz414",1,"D"
"135",135,0,2,"male",25,0,0,13,"S","Mr",1,1,0,1,"Sobey178",0,"E"
"136",136,0,2,"male",23,0,0,15.0458,"C","Mr",1,1,0,1,"Richard133",0,"F"
"137",137,1,1,"female",19,0,2,26.2833,"S","Ms",3,1,0,0,"Newsom752",1,"D"
"138",138,0,1,"male",37,1,0,53.1,"S","Mr",2,1,0,0,"Futrelle803",1,"C"
"139",139,0,3,"male",16,0,0,9.2167,"S","Mr",1,1,0,1,"Osen534",0,"E"
"140",140,0,1,"male",24,0,0,79.2,"C","Mr",1,1,0,1,"Giglio593",0,"B"
"141",141,0,3,"female",3,0,2,15.2458,"C","Mrs",3,1,1,0,"Boulos678",0,"F"
"142",142,1,3,"female",22,0,0,7.75,"S","Ms",1,1,0,1,"Nysten081",0,"F"
"143",143,1,3,"female",24,1,0,15.85,"S","Mrs",2,1,0,0,"Hakkarainen279",1,"E"
"144",144,0,3,"male",19,0,0,6.75,"Q","Mr",1,1,0,1,"Burke222",0,"G"
"145",145,0,2,"male",18,0,0,11.5,"S","Mr",1,1,0,1,"Andrew945",0,"F"
"146",146,0,2,"male",19,1,1,36.75,"S","Mr",3,1,0,0,"Nicholls112",0,"D"
"147",147,1,3,"male",27,0,0,7.7958,"S","Mr",1,1,0,1,"Andersson043",0,"G"
"148",148,0,3,"female",9,2,2,34.375,"S","Miss",5,0,0,0,"Ford608",0,"F"
"149",149,0,2,"male",36.5,0,2,26,"S","Mr",3,1,0,0,"Navratil080",2,"F"
"150",150,0,2,"male",42,0,0,13,"S","Mr",1,1,0,1,"Byles310",0,"F"
"151",151,0,2,"male",51,0,0,12.525,"S","Mr",1,1,0,1,"Bateman166",0,"E"
"152",152,1,1,"female",22,1,0,66.6,"S","Mrs",2,1,0,0,"Pears776",1,"C"
"153",153,0,3,"male",55.5,0,0,8.05,"S","Mr",1,1,0,1,"Meo206",0,"G"
"154",154,0,3,"male",40.5,0,2,14.5,"S","Mr",3,1,0,0,"van Billiard851",0,"F"
"155",155,0,3,"male",18,0,0,7.3125,"S","Mr",1,1,0,1,"Olsen302",0,"G"
"156",156,0,1,"male",51,0,1,61.3792,"C","Mr",2,1,0,0,"Williams597",0,"D"
"157",157,1,3,"female",16,0,0,7.7333,"Q","Ms",1,1,0,1,"Gilnagh851",0,"G"
"158",158,0,3,"male",30,0,0,8.05,"S","Mr",1,1,0,1,"Corn090",0,"G"
"159",159,0,3,"male",6,0,0,8.6625,"S","Mr",1,1,0,1,"Smiljanic037",0,"G"
"160",160,0,3,"male",9,8,2,69.55,"S","Master",11,0,0,0,"Sage343",0,"F"
"161",161,0,3,"male",44,0,1,16.1,"S","Mr",2,1,0,0,"Cribb362",0,"F"
"162",162,1,2,"female",40,0,0,15.75,"S","Mrs",1,1,0,1,"Watt595",0,"E"
"163",163,0,3,"male",26,0,0,7.775,"S","Mr",1,1,0,1,"Bengtsson068",0,"G"
"164",164,0,3,"male",17,0,0,8.6625,"S","Mr",1,1,0,1,"Calic093",0,"G"
"165",165,0,3,"male",1,4,1,39.6875,"S","Master",6,0,0,0,"Panula295",0,"F"
"166",166,1,3,"male",9,0,2,20.525,"S","Master",3,1,0,0,"Goldsmith291",2,"G"
"167",167,1,1,"female",31,0,1,55,"S","Mrs",2,1,1,0,"Chibnall505",1,"E"
"168",168,0,3,"female",45,1,4,27.9,"S","Mrs",6,0,1,0,"Skoog088",0,"F"
"169",169,0,1,"male",29,0,0,25.925,"S","Mr",1,1,0,1,"Baumann318",0,"C"
"170",170,0,3,"male",28,0,0,56.4958,"S","Mr",1,1,0,1,"Ling601",0,"F"
"171",171,0,1,"male",61,0,0,33.5,"S","Mr",1,1,0,1,"Van der hoef240",0,"B"
"172",172,0,3,"male",4,4,1,29.125,"Q","Master",6,0,0,0,"Rice652",0,"F"
"173",173,1,3,"female",1,1,1,11.1333,"S","Miss",3,1,0,0,"Johnson742",3,"F"
"174",174,0,3,"male",21,0,0,7.925,"S","Mr",1,1,0,1,"Sivola280",0,"F"
"175",175,0,1,"male",56,0,0,30.6958,"C","Mr",1,1,0,1,"Smith764",0,"A"
"176",176,0,3,"male",18,1,1,7.8542,"S","Mr",3,1,0,0,"Klasen404",0,"F"
"177",177,0,3,"male",3,3,1,25.4667,"S","Master",5,0,0,0,"Lefebre133",0,"F"
"178",178,0,1,"female",50,0,0,28.7125,"C","Ms",1,1,0,1,"Isham595",0,"C"
"179",179,0,2,"male",30,0,0,13,"S","Mr",1,1,0,1,"Hale653",0,"F"
"180",180,0,3,"male",36,0,0,0,"S","Mr",1,1,0,1,"LeonardINE",0,"F"
"181",181,0,3,"female",4,8,2,69.55,"S","Miss",11,0,0,0,"Sage343",0,"F"
"182",182,0,2,"male",28,0,0,15.05,"C","Mr",1,1,0,1,"Pernot131",0,"D"
"183",183,0,3,"male",9,4,2,31.3875,"S","Master",7,0,0,0,"Asplund077",3,"F"
"184",184,1,2,"male",1,2,1,39,"S","Master",4,0,0,0,"Becker136",2,"F"
"185",185,1,3,"female",4,0,2,22.025,"S","Miss",3,1,0,0,"Kink-Heilmann153",1,"F"
"186",186,0,1,"male",23,0,0,50,"S","Mr",1,1,0,1,"Rood767",0,"A"
"187",187,1,3,"female",4,1,0,15.5,"Q","Mrs",2,1,0,0,"O'Brien365",1,"G"
"188",188,1,1,"male",45,0,0,26.55,"S","Mr",1,1,0,1,"Romaine428",0,"E"
"189",189,0,3,"male",40,1,1,15.5,"Q","Mr",3,1,0,0,"Bourke849",0,"F"
"190",190,0,3,"male",36,0,0,7.8958,"S","Mr",1,1,0,1,"Turcin247",0,"G"
"191",191,1,2,"female",32,0,0,13,"S","Mrs",1,1,0,1,"Pinsky604",0,"F"
"192",192,0,2,"male",19,0,0,13,"S","Mr",1,1,0,1,"Carbines424",0,"E"
"193",193,1,3,"female",19,1,0,7.8542,"S","Ms",2,1,0,0,"Andersen-Jensen046",1,"F"
"194",194,1,2,"male",3,1,1,26,"S","Master",3,1,0,0,"Navratil080",2,"F"
"195",195,1,1,"female",44,0,0,27.7208,"C","Mrs",1,1,0,1,"Brown610",0,"B"
"196",196,1,1,"female",58,0,0,146.5208,"C","Ms",1,1,0,1,"Lurette569",0,"B"
"197",197,0,3,"male",27,0,0,7.75,"Q","Mr",1,1,0,1,"Mernagh703",0,"F"
"198",198,0,3,"male",42,0,1,8.4042,"S","Mr",2,1,0,0,"Olsen579",0,"F"
"199",199,1,3,"female",4,0,0,7.75,"Q","Miss",1,1,0,1,"Madigan370",0,"E"
"200",200,0,2,"female",24,0,0,13,"S","Ms",1,1,0,1,"Yrois747",0,"F"
"201",201,0,3,"male",28,0,0,9.5,"S","Mr",1,1,0,1,"Vande Walle770",0,"F"
"202",202,0,3,"male",13,8,2,69.55,"S","Mr",11,0,0,0,"Sage343",0,"G"
"203",203,0,3,"male",34,0,0,6.4958,"S","Mr",1,1,0,1,"Johanson264",0,"E"
"204",204,0,3,"male",45.5,0,0,7.225,"C","Mr",1,1,0,1,"Youseff628",0,"F"
"205",205,1,3,"male",18,0,0,8.05,"S","Mr",1,1,0,1,"Cohen540",0,"E"
"206",206,0,3,"female",2,0,1,10.4625,"S","Miss",2,1,0,0,"Strom054",0,"G"
"207",207,0,3,"male",32,1,0,15.85,"S","Mr",2,1,0,0,"Backstrom278",1,"G"
"208",208,1,3,"male",26,0,0,18.7875,"C","Mr",1,1,0,1,"Albimona699",0,"G"
"209",209,1,3,"female",16,0,0,7.75,"Q","Ms",1,1,0,1,"Carr231",0,"F"
"210",210,1,1,"male",40,0,0,31,"C","Mr",1,1,0,1,"Blank277",0,"A"
"211",211,0,3,"male",24,0,0,7.05,"S","Mr",1,1,0,1,"Ali311",0,"G"
"212",212,1,2,"female",35,0,0,21,"S","Ms",1,1,0,1,"Cameron528",0,"F"
"213",213,0,3,"male",22,0,0,7.25,"S","Mr",1,1,0,1,"Perkin174",0,"G"
"214",214,0,2,"male",30,0,0,13,"S","Mr",1,1,0,1,"Givard646",0,"F"
"215",215,0,3,"male",7,1,0,7.75,"Q","Mr",2,1,0,0,"Kiernan229",0,"F"
"216",216,1,1,"female",31,1,0,113.275,"C","Ms",2,1,0,0,"Newell273",2,"D"
"217",217,1,3,"female",27,0,0,7.925,"S","Ms",1,1,0,1,"Honkanen283",0,"F"
"218",218,0,2,"male",42,1,0,27,"S","Mr",2,1,0,0,"Jacobsohn847",1,"F"
"219",219,1,1,"female",32,0,0,76.2917,"C","Ms",1,1,0,1,"Bazzani813",0,"D"
"220",220,0,2,"male",30,0,0,10.5,"S","Mr",1,1,0,1,"Harris208",0,"F"
"221",221,1,3,"male",16,0,0,8.05,"S","Mr",1,1,0,1,"Sunderland089",0,"F"
"222",222,0,2,"male",27,0,0,13,"S","Mr",1,1,0,1,"Bracken367",0,"F"
"223",223,0,3,"male",51,0,0,8.05,"S","Mr",1,1,0,1,"Green440",0,"F"
"224",224,0,3,"male",18,0,0,7.8958,"S","Mr",1,1,0,1,"Nenkoff234",0,"G"
"225",225,1,1,"male",38,1,0,90,"S","Mr",2,1,0,0,"Hoyt943",2,"C"
"226",226,0,3,"male",22,0,0,9.35,"S","Mr",1,1,0,1,"Berglund348",0,"G"
"227",227,1,2,"male",19,0,0,10.5,"S","Mr",1,1,0,1,"Mellors751",0,"F"
"228",228,0,3,"male",20.5,0,0,7.25,"S","Mr",1,1,0,1,"Lovell173",0,"G"
"229",229,0,2,"male",18,0,0,13,"S","Mr",1,1,0,1,"Fahlstrom171",0,"E"
"230",230,0,3,"female",9,3,1,25.4667,"S","Miss",5,0,0,0,"Lefebre133",0,"G"
"231",231,1,1,"female",35,1,0,83.475,"S","Mrs",2,1,0,0,"Harris973",1,"C"
"232",232,0,3,"male",29,0,0,7.775,"S","Mr",1,1,0,1,"Larsson067",0,"E"
"233",233,0,2,"male",59,0,0,13.5,"S","Mr",1,1,0,1,"Sjostedt442",0,"F"
"234",234,1,3,"female",5,4,2,31.3875,"S","Miss",7,0,0,0,"Asplund077",3,"F"
"235",235,0,2,"male",24,0,0,10.5,"S","Mr",1,1,0,1,"Leyson566",0,"D"
"236",236,0,3,"female",10,0,0,7.55,"S","Miss",1,1,0,1,"Harknett609",0,"E"
"237",237,0,2,"male",44,1,0,26,"S","Mr",2,1,0,0,"Hold707",0,"F"
"238",238,1,2,"female",8,0,2,26.25,"S","Miss",3,1,0,0,"Collyer921",2,"D"
"239",239,0,2,"male",19,0,0,10.5,"S","Mr",1,1,0,1,"Pengelly665",0,"E"
"240",240,0,2,"male",33,0,0,12.275,"S","Mr",1,1,0,1,"Hunt585",0,"F"
"241",241,0,3,"female",5,1,0,14.4542,"C","Miss",2,1,0,0,"Zabour665",0,"E"
"242",242,1,3,"female",25,1,0,15.5,"Q","Ms",2,1,0,0,"Murphy230",2,"F"
"243",243,0,2,"male",29,0,0,10.5,"S","Mr",1,1,0,1,"Coleridge263",0,"F"
"244",244,0,3,"male",22,0,0,7.125,"S","Mr",1,1,0,1,"Maenpaa275",0,"E"
"245",245,0,3,"male",30,0,0,7.225,"C","Mr",1,1,0,1,"Attalah694",0,"G"
"246",246,0,1,"male",44,2,0,90,"Q","Mr",3,1,0,0,"Minahan928",1,"C"
"247",247,0,3,"female",25,0,0,7.775,"S","Ms",1,1,0,1,"Lindahl071",0,"F"
"248",248,1,2,"female",24,0,2,14.5,"S","Mrs",3,1,1,0,"Hamalainen649",2,"F"
"249",249,1,1,"male",37,1,1,52.5542,"S","Mr",3,1,0,0,"Beckwith751",2,"D"
"250",250,0,2,"male",54,1,0,26,"S","Mr",2,1,0,0,"Carter252",0,"F"
"251",251,0,3,"male",30,0,0,7.25,"S","Mr",1,1,0,1,"Reed316",0,"G"
"252",252,0,3,"female",29,1,1,10.4625,"S","Mrs",3,1,1,0,"Strom054",0,"G"
"253",253,0,1,"male",62,0,0,26.55,"S","Mr",1,1,0,1,"Stead514",0,"C"
"254",254,0,3,"male",30,1,0,16.1,"S","Mr",2,1,0,0,"Lobb336",0,"E"
"255",255,0,3,"female",41,0,2,20.2125,"S","Mrs",3,1,1,0,"Rosblom129",0,"F"
"256",256,1,3,"female",29,0,2,15.2458,"C","Mrs",3,1,1,0,"Touma650",1,"F"
"257",257,1,1,"female",22,0,0,79.2,"C","Mrs",1,1,0,1,"Thorne585",0,"E"
"258",258,1,1,"female",30,0,0,86.5,"S","Ms",1,1,0,1,"Cherry152",0,"B"
"259",259,1,1,"female",35,0,0,512.3292,"C","Ms",1,1,0,1,"Ward755",0,"B"
"260",260,1,2,"female",50,0,1,26,"S","Mrs",2,1,1,0,"Parrish433",1,"D"
"261",261,0,3,"male",18,0,0,7.75,"Q","Mr",1,1,0,1,"Smith461",0,"F"
"262",262,1,3,"male",3,4,2,31.3875,"S","Master",7,0,0,0,"Asplund077",3,"F"
"263",263,0,1,"male",52,1,1,79.65,"S","Mr",3,1,0,0,"Taussig413",2,"E"
"264",264,0,1,"male",40,0,0,0,"S","Mr",1,1,0,1,"Harrison059",0,"B"
"265",265,0,3,"female",11,0,0,7.75,"Q","Miss",1,1,0,1,"Henry649",0,"F"
"266",266,0,2,"male",36,0,0,10.5,"S","Mr",1,1,0,1,"Reeves248",0,"D"
"267",267,0,3,"male",16,4,1,39.6875,"S","Mr",6,0,0,0,"Panula295",0,"F"
"268",268,1,3,"male",25,1,0,7.775,"S","Mr",2,1,0,0,"Persson083",1,"G"
"269",269,1,1,"female",58,0,1,153.4625,"S","Mrs",2,1,1,0,"Graham582",1,"C"
"270",270,1,1,"female",35,0,0,135.6333,"S","Ms",1,1,0,1,"Bissette760",0,"C"
"271",271,0,1,"male",32,0,0,31,"S","Mr",1,1,0,1,"Cairns798",0,"D"
"272",272,1,3,"male",25,0,0,0,"S","Mr",1,1,0,1,"TornquistINE",0,"E"
"273",273,1,2,"female",41,0,1,19.5,"S","Mrs",2,1,1,0,"Mellinger644",2,"D"
"274",274,0,1,"male",37,0,1,29.7,"C","Mr",2,1,0,0,"Natsch596",0,"C"
